"id","device_id","fix","hdop","latitude","longitude","velocity","heart_rate","acc_x","acc_y","acc_z","quat_w","quat_x","quat_y","quat_z","device_date","db_date"
40628,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:41.799+00","2021-06-02 12:59:05.411536+00"
40627,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:40.799+00","2021-06-02 12:59:04.416712+00"
40626,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:39.799+00","2021-06-02 12:59:03.149069+00"
40625,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:38.799+00","2021-06-02 12:59:02.180924+00"
40624,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:37.799+00","2021-06-02 12:59:00.872586+00"
40623,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:36.799+00","2021-06-02 12:58:59.942896+00"
40622,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:35.799+00","2021-06-02 12:58:58.974252+00"
40621,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:32.799+00","2021-06-02 12:58:56.733863+00"
40620,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:31.799+00","2021-06-02 12:58:55.494938+00"
40619,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:30.799+00","2021-06-02 12:58:54.475832+00"
40618,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:29.799+00","2021-06-02 12:58:53.551995+00"
40617,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:28.799+00","2021-06-02 12:58:52.253637+00"
40616,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:27.799+00","2021-06-02 12:58:51.275176+00"
40615,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:26.799+00","2021-06-02 12:58:50.033892+00"
40614,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:25.799+00","2021-06-02 12:58:49.05791+00"
40613,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:24.799+00","2021-06-02 12:58:48.063614+00"
40612,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:23.799+00","2021-06-02 12:58:46.793396+00"
40611,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:21.799+00","2021-06-02 12:58:45.848292+00"
40610,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:20.799+00","2021-06-02 12:58:44.59639+00"
40609,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:19.799+00","2021-06-02 12:58:43.599378+00"
40608,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:18.799+00","2021-06-02 12:58:42.688828+00"
40607,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:17.799+00","2021-06-02 12:58:41.363128+00"
40606,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:16.799+00","2021-06-02 12:58:40.427624+00"
40605,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:15.799+00","2021-06-02 12:58:39.104478+00"
40604,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:14.799+00","2021-06-02 12:58:38.209375+00"
40603,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:13.799+00","2021-06-02 12:58:37.249085+00"
40602,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:12.799+00","2021-06-02 12:58:35.920117+00"
40601,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:11.799+00","2021-06-02 12:58:34.981083+00"
40600,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:10.799+00","2021-06-02 12:58:33.712186+00"
40599,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:08.799+00","2021-06-02 12:58:32.713692+00"
40598,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:07.799+00","2021-06-02 12:58:31.778638+00"
40597,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:06.799+00","2021-06-02 12:58:30.497836+00"
40596,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:05.799+00","2021-06-02 12:58:29.569863+00"
40595,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:04.799+00","2021-06-02 12:58:28.564459+00"
40594,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:03.799+00","2021-06-02 12:58:27.304954+00"
40593,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:02.799+00","2021-06-02 12:58:26.370698+00"
40592,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:01.799+00","2021-06-02 12:58:25.058662+00"
40591,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:00.799+00","2021-06-02 12:58:24.100507+00"
40590,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:58.799+00","2021-06-02 12:58:21.873017+00"
40589,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:57.799+00","2021-06-02 12:58:20.908077+00"
40588,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:55.799+00","2021-06-02 12:58:19.620807+00"
40587,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:54.799+00","2021-06-02 12:58:18.656393+00"
40586,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:53.799+00","2021-06-02 12:58:17.708331+00"
40585,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:52.799+00","2021-06-02 12:58:16.419085+00"
40584,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:51.799+00","2021-06-02 12:58:15.471578+00"
40583,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:50.799+00","2021-06-02 12:58:14.207326+00"
40582,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:49.799+00","2021-06-02 12:58:13.226582+00"
40581,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:48.799+00","2021-06-02 12:58:12.233221+00"
40580,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:47.799+00","2021-06-02 12:58:10.953369+00"
40579,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:46.799+00","2021-06-02 12:58:10.037013+00"
40578,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:45.799+00","2021-06-02 12:58:08.725856+00"
40577,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:43.799+00","2021-06-02 12:58:07.743424+00"
40576,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:42.799+00","2021-06-02 12:58:06.83346+00"
40575,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:41.799+00","2021-06-02 12:58:05.557086+00"
40574,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:40.799+00","2021-06-02 12:58:04.567718+00"
40573,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:39.799+00","2021-06-02 12:58:03.287591+00"
40572,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:38.799+00","2021-06-02 12:58:02.344603+00"
40571,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:37.799+00","2021-06-02 12:58:01.410975+00"
40570,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:36.799+00","2021-06-02 12:58:00.073951+00"
40569,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:35.799+00","2021-06-02 12:57:59.137226+00"
40568,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:34.799+00","2021-06-02 12:57:57.868788+00"
40567,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:33.799+00","2021-06-02 12:57:56.876802+00"
40566,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:32.799+00","2021-06-02 12:57:55.957287+00"
40565,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:30.799+00","2021-06-02 12:57:54.64258+00"
40564,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:29.799+00","2021-06-02 12:57:53.758318+00"
40563,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:28.799+00","2021-06-02 12:57:52.747538+00"
40562,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:27.799+00","2021-06-02 12:57:51.483916+00"
40561,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:26.799+00","2021-06-02 12:57:50.470128+00"
40560,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:25.799+00","2021-06-02 12:57:49.204042+00"
40559,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:24.799+00","2021-06-02 12:57:48.254276+00"
40558,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:23.799+00","2021-06-02 12:57:47.312841+00"
40557,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:22.799+00","2021-06-02 12:57:46.04542+00"
40556,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:21.799+00","2021-06-02 12:57:45.058613+00"
40555,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:20.799+00","2021-06-02 12:57:43.833051+00"
40554,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:18.799+00","2021-06-02 12:57:42.786277+00"
40553,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:17.799+00","2021-06-02 12:57:41.844313+00"
40552,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:16.799+00","2021-06-02 12:57:40.575169+00"
40551,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:15.799+00","2021-06-02 12:57:39.616349+00"
40550,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:14.799+00","2021-06-02 12:57:38.372447+00"
40549,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:13.799+00","2021-06-02 12:57:37.37418+00"
40548,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:12.799+00","2021-06-02 12:57:36.399229+00"
40547,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:11.799+00","2021-06-02 12:57:35.116625+00"
40546,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:10.799+00","2021-06-02 12:57:34.166271+00"
40545,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:09.799+00","2021-06-02 12:57:32.899601+00"
40544,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:08.799+00","2021-06-02 12:57:31.916163+00"
40543,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:07.799+00","2021-06-02 12:57:30.999798+00"
40542,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:05.799+00","2021-06-02 12:57:29.700444+00"
40541,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:04.799+00","2021-06-02 12:57:28.714817+00"
40540,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:03.799+00","2021-06-02 12:57:27.446737+00"
40539,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:02.799+00","2021-06-02 12:57:26.499111+00"
40538,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:01.799+00","2021-06-02 12:57:25.555744+00"
40537,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:00.799+00","2021-06-02 12:57:24.223546+00"
40536,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:59.799+00","2021-06-02 12:57:23.334384+00"
40535,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:58.799+00","2021-06-02 12:57:22.023816+00"
40534,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:57.799+00","2021-06-02 12:57:21.036685+00"
40533,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:56.799+00","2021-06-02 12:57:20.083826+00"
40532,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:55.799+00","2021-06-02 12:57:18.812883+00"
40531,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:54.799+00","2021-06-02 12:57:17.877452+00"
40530,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:52.799+00","2021-06-02 12:57:16.898677+00"
40529,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:51.799+00","2021-06-02 12:57:15.647188+00"
40528,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:50.799+00","2021-06-02 12:57:14.634923+00"
40527,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:49.799+00","2021-06-02 12:57:13.357579+00"
40526,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:48.799+00","2021-06-02 12:57:12.410619+00"
40525,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:47.799+00","2021-06-02 12:57:11.425639+00"
40524,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:46.799+00","2021-06-02 12:57:10.196116+00"
40523,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:45.799+00","2021-06-02 12:57:09.215344+00"
40522,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:44.799+00","2021-06-02 12:57:07.974744+00"
40521,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:43.799+00","2021-06-02 12:57:06.974995+00"
40520,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:42.799+00","2021-06-02 12:57:06.014409+00"
40519,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:40.799+00","2021-06-02 12:57:04.723959+00"
40518,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:39.799+00","2021-06-02 12:57:03.744847+00"
40517,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:38.799+00","2021-06-02 12:57:02.521226+00"
40516,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:37.799+00","2021-06-02 12:57:01.586354+00"
40515,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:36.799+00","2021-06-02 12:57:00.551941+00"
40514,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:34.799+00","2021-06-02 12:56:58.338593+00"
40513,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:33.799+00","2021-06-02 12:56:57.076449+00"
40512,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:32.799+00","2021-06-02 12:56:56.076575+00"
40511,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:31.799+00","2021-06-02 12:56:55.170208+00"
40510,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:30.799+00","2021-06-02 12:56:53.842442+00"
40509,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:27.799+00","2021-06-02 12:56:51.595185+00"
40508,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:26.799+00","2021-06-02 12:56:50.669895+00"
40507,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:25.799+00","2021-06-02 12:56:49.724349+00"
40506,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:24.799+00","2021-06-02 12:56:48.394746+00"
40505,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:23.799+00","2021-06-02 12:56:47.469623+00"
40504,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:22.799+00","2021-06-02 12:56:46.170223+00"
40503,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:21.799+00","2021-06-02 12:56:45.18232+00"
40502,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:19.799+00","2021-06-02 12:56:42.995746+00"
40501,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:18.799+00","2021-06-02 12:56:42.062656+00"
40500,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:17.799+00","2021-06-02 12:56:41.07379+00"
40499,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:16.799+00","2021-06-02 12:56:39.808618+00"
40498,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:13.799+00","2021-06-02 12:56:37.51458+00"
40497,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:12.799+00","2021-06-02 12:56:36.589311+00"
40496,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:11.799+00","2021-06-02 12:56:35.62316+00"
40495,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:10.799+00","2021-06-02 12:56:34.365354+00"
40494,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:09.799+00","2021-06-02 12:56:33.37352+00"
40493,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:08.799+00","2021-06-02 12:56:32.099371+00"
40492,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:07.799+00","2021-06-02 12:56:31.102198+00"
40491,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:06.799+00","2021-06-02 12:56:30.199482+00"
40490,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:05.799+00","2021-06-02 12:56:28.907728+00"
40489,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:04.799+00","2021-06-02 12:56:27.916183+00"
40488,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:02.799+00","2021-06-02 12:56:26.672679+00"
40487,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:01.799+00","2021-06-02 12:56:25.707521+00"
40486,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:12:00.799+00","2021-06-02 12:56:24.726829+00"
40485,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:59.799+00","2021-06-02 12:56:23.430115+00"
40484,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:58.799+00","2021-06-02 12:56:22.500157+00"
40483,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:57.799+00","2021-06-02 12:56:21.206809+00"
40482,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:56.799+00","2021-06-02 12:56:20.247323+00"
40481,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:55.799+00","2021-06-02 12:56:19.299278+00"
40480,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:11:54.799+00","2021-06-02 12:56:18.029106+00"
